Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
Other ethnic group: East Asian/ East Asian unspecified,1,1,3,0,1,0,2,0,2,0
Other ethnic group: English,0,1,0,1,0,0,2,0,0,0
Other ethnic group: English/Welsh/Scottish/Northern Irish/British,0,1,1,0,1,1,0,0,0,3
"Other ethnic group: European Mixed, European unspecified, other European",4,34,14,9,18,20,13,3,2,4
Other ethnic group: Filipino,0,17,20,4,1,25,7,2,1,2
Other ethnic group: Greek,2,1,4,0,3,6,0,0,8,0
Other ethnic group: Greek Cypriot,4,0,2,2,2,4,6,8,0,3
Other ethnic group: Gypsy/Romany,0,0,0,0,1,0,0,1,0,0
Other ethnic group: Hispanic or Latin American,11,18,58,2,82,84,62,9,18,1
Other ethnic group: Indian or British Indian,18,21,0,3,0,7,3,3,2,0
Other ethnic group: Iranian,22,13,45,17,45,70,13,24,62,4
Other ethnic group: Italian,0,1,1,0,0,2,3,2,0,0
Other ethnic group: Japanese,4,0,3,0,1,3,0,1,3,0
Other ethnic group: Jewish,3,0,30,1,21,32,13,1,6,4
Other ethnic group: Kashmiri,0,0,0,0,0,0,0,1,1,0
Other ethnic group: Kurdish,24,7,14,2,4,41,8,16,1,0
Other ethnic group: Lithuanian,0,0,0,0,0,0,1,0,0,1
Other ethnic group: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian,6,14,1,4,5,0,12,12,2,4
Other ethnic group: Mexican,0,0,3,1,3,1,1,0,2,1
Other ethnic group: Moroccan,0,4,5,0,6,13,6,0,3,1
Other ethnic group: Muslim,1,0,0,0,0,1,0,0,0,0
Other ethnic group: Nepali (includes Gurkha),0,57,0,0,3,2,0,5,0,0
Other ethnic group: North African,0,8,13,0,43,19,15,0,3,0
"Other ethnic group: Other Asian, Asian unspecified",12,34,10,4,7,3,9,3,1,1
Other ethnic group: Other Eastern European,1,10,0,0,1,3,9,0,2,11
Other ethnic group: Other Middle East,2,9,10,4,10,27,4,18,5,4
Other ethnic group: Other Mixed,4,4,17,0,4,17,10,3,3,4
